category,task,value,date,day
personal,- [x] return phone case,3,2018/07/16,sunday
personal,- [x] buy i-pad new case,3,2018/07/16,sunday
gear lift,- [x] organize folders,5,2018/07/16,sunday
personal,- [x] return i-pad case,3,2018/07/16,sunday
personal,- [x] buy new filters,3,2018/07/16,sunday
snowmass,- [x] pay landscapers,2,2018/07/16,sunday
snowmass,- [x] pay sprinklers,2,2018/07/16,sunday
gear lift,- [x] pay eliot,2,2018/07/16,sunday
gear lift,- [x] rename local folder,3,2018/07/16,sunday
gear lift,- [x] rename git repo,3,2018/07/16,sunday
gear lift,- [x] rename heroku app,3,2018/07/16,sunday
gear lift,- [x] move heroku app,5,2018/07/16,sunday
gear lift,- [x] figure out gear lift gmail billing,3,2018/07/16,sunday
personal,plan spring break,3,2018/07/16,sunday
personal,apply to frequent flyer,3,2018/07/16,sunday
personal,look at japan,3,2018/07/16,sunday
health,leadership training,5,2018/07/16,sunday
health,Diet,5,2018/07/23,sunday
personal,Reset basic layout,5,2018/07/23,sunday
personal,Contact solution ,3,2018/07/23,sunday
vacation,New Yokr,10,2018/07/30,sunday
personal,coax cable fix,3,2018/08/06,sunday
personal,Weeds,3,2018/08/06,sunday
personal,HD and put up lights,3,2018/08/06,sunday
personal,Walgreens,2,2018/08/13,sunday
personal,Pick up dry cleaning,2,2018/08/13,sunday
health,IF,5,2018/08/13,sunday
personal,clean up garage,5,2018/08/13,sunday
personal,give away box,3,2018/08/13,sunday
personal,food coffee prep,5,2018/08/20,sunday
personal,reply to greg,3,2018/08/20,sunday
personal,Email about workbond,3,2018/08/20,sunday
personal,Laundry,3,2018/08/20,sunday
personal,Pull and spray weeds,5,2018/08/20,sunday
personal,Car wash,2,2018/08/20,sunday
health,IF,5,2018/08/20,sunday
health,Juice,3,2018/08/20,sunday
gear lift,Reply to ben,2,2018/08/20,sunday
health,IF,5,2018/08/27,sunday
health,IF,5,2018/09/03,sunday
health,lift arms,5,2018/09/10,sunday
health,IF,5,2018/09/10,sunday
health,Juice,3,2018/09/10,sunday
personal,water sod,3,2018/09/10,sunday
personal,research diet,5,2018/09/10,sunday
personal,set up new lights,3,2018/09/10,sunday
health,IF,5,2018/09/17,sunday
health,Juice,3,2018/09/17,sunday
personal,Laundry,3,2018/09/17,sunday
personal,Prep food for week,8,2018/09/17,sunday
personal,Check sprinklers,3,2018/09/17,sunday
health,IF,5,2018/09/24,sunday
health,Juice,3,2018/09/24,sunday
personal,Prep food for week,3,2018/09/24,sunday
health,IF,5,2018/10/01,sunday
health,Juice,3,2018/10/01,sunday
personal,Laundry,3,2018/10/01,sunday
health,lift amrs,5,2018/10/01,sunday
health,IF,5,2018/10/08,sunday
health,Juice,3,2018/10/08,sunday
personal,Laundry,3,2018/10/08,sunday
health,IF,5,2018/10/15,sunday
health,Juice,3,2018/10/15,sunday
personal,Laundry,3,2018/10/15,sunday
personal,Sign up for Lexia,3,2018/10/15,sunday
personal,Menu Groceries,3,2018/10/15,sunday
health,IF,5,2018/10/22,sunday
health,Juice,3,2018/10/22,sunday
personal,work party prep,5,2018/10/22,sunday
personal,register for joey klien,3,2018/10/22,sunday
health,IF,5,2018/10/29,sunday
health,Juice,3,2018/10/29,sunday
snowmass,Call Plumber,2,2018/10/29,sunday
personal,Laundry,3,2018/10/29,sunday
personal,Deposit check,3,2018/10/29,sunday
personal,Menu Groceries,3,2018/10/29,sunday
health,IF,5,2018/11/05,sunday
health,Juice,3,2018/11/05,sunday
personal,Keeping up with Jones,3,2018/11/05,sunday
personal,Menu Groceries,5,2018/11/05,sunday
personal,Hot sauce,5,2018/11/05,sunday
health,IF,5,2018/11/12,sunday
health,Juice,3,2018/11/12,sunday
personal,Reply to Joel,3,2018/11/12,sunday
personal,Pay Amex,2,2018/11/12,sunday
gear lift,rework questionaire,8,2018/11/12,sunday
health,IF,5,2018/11/19,sunday
health,Juice,3,2018/11/19,sunday
health,IF,5,2018/11/26,sunday
health,Juice,3,2018/11/26,sunday
health,IF,5,2018/12/03,sunday
health,Juice,3,2018/12/03,sunday
health,Ski,8,2018/12/03,sunday
health,physical master,8,2016/07/04,saturday 
health,Power in Mind,5,2018/01/29,saturday 
health,cleanse,3,2015/12/28,saturday
health,cleanse,3,2016/01/04,saturday
health,Mental Mastery,8,2016/01/04,saturday
health,3 Mile Run,2,2016/02/15,saturday
personal,Dinner with the Blairs,2,2016/02/15,saturday
personal,Register Better Touch,1,2016/02/15,saturday
personal,Fixed Adina's Fitbit,3,2016/02/15,saturday
personal,Organized Garage,5,2016/02/15,saturday
career_development,TH - Styling Web Pages and Navigation,2,2016/02/15,saturday
career_development,TH - Adding Pages to a Website,2,2016/02/15,saturday
personal,Dinner with Father Neil,3,2016/02/22,saturday
health,3 Mile Run,2,2016/02/29,saturday
personal,Walk Frazz,2,2016/03/14,saturday
health,Hike with Family,2,2016/03/14,saturday
health,Run 3.5 Miles,2,2016/03/28,saturday
health,Emotional Mastery,8,2016/04/04,saturday
health,Emotional Mastery,8,2016/04/04,saturday
personal,Exchange Luggage,1,2016/04/11,saturday
snowmass,Research rental market,3,2016/04/11,saturday
snowmass,Spruce up Snowmass hosue,5,2016/04/25,saturday
personal,Buy shower head,2,2016/05/02,saturday
personal,Dinner with Kari and Matt,3,2016/05/02,saturday
personal,Get cash for seb,2,2016/05/02,saturday
personal,Brady card,1,2016/05/02,saturday
health,Hike with Adina,3,2016/05/09,saturday
personal,Laundry,2,2016/05/09,saturday
health,Ride bikes to Aspen,5,2016/05/16,saturday
snowmass,Ubook rest of year on evolve,2,2016/05/16,saturday
snowmass,Text Jessica about cleaning,1,2016/05/16,saturday
snowmass,Fertilze snowmass lawn,3,2016/05/16,saturday
pipeline,a,0,2016/05/23,saturday
health,a,10,2016/05/23,saturday
career_development,a,0,2016/05/23,saturday
fcfs,a,0,2016/05/23,saturday
personal,Trim bushes for sprinklers,2,2016/05/30,saturday
personal,Test sprinklers,3,2016/05/30,saturday
personal,Round-up Property,5,2016/05/30,saturday
personal,Tammy and Gannon dinner,2,2016/05/30,saturday
health,whole 30,2,2016/06/06,saturday
personal,Get snowmass ready to rent,5,2016/06/06,saturday
health,whole 30,2,2016/06/13,saturday
health,Run 7 Miles,3,2016/06/13,saturday
health,whole 30,2,2016/06/20,saturday
health,Mt Bike with Joey,3,2016/06/20,saturday
personal,Regional Meeting,3,2016/06/20,saturday
health,whole 30,2,2016/06/27,saturday
personal,Trim side yard and weed,3,2016/06/27,saturday
personal,Deadhead rosebushes and trim front yard,3,2016/06/27,saturday
health,Wake up @ 6am,2,2016/07/11,saturday
health,in bed at 10pm ,2,2016/07/11,saturday
health,No fap,2,2016/07/11,saturday
health,in bed at 10pm ,2,2016/07/18,saturday
health,Wake up @ 6am,2,2016/07/18,saturday
personal,Make pickles,3,2016/07/18,saturday
health,No fap,2,2016/07/18,saturday
health,Wake up @ 6am,2,2016/07/25,saturday
personal,Talley Scrum,3,2016/07/25,saturday
personal,Weed back planter,3,2016/07/25,saturday
personal,Spray weeds around the house,5,2016/07/25,saturday
personal,Neil Draxler Dinner,3,2016/07/25,saturday
personal,Fix Bike,2,2016/07/25,saturday
health,Organize pills,2,2016/07/25,saturday
health,Run 35 min,5,2016/07/25,saturday
personal,John & Julianne Snowmass,3,2016/08/01,saturday
snowmass,Hang snowmass numbers,3,2016/08/01,saturday
health,No fap,2,2016/08/01,saturday
health,wake up @ 6am,2,2016/08/01,saturday
snowmass,repack car,3,2016/08/08,saturday
health,Ragnar run,15,2016/08/08,saturday
personal,Laundry,2,2016/08/15,saturday
personal,Grocery ,2,2016/08/15,saturday
personal,Menu,2,2016/08/15,saturday
snowmass,Home depot windows and return post,2,2016/08/15,saturday
personal,Figure out tile patter,3,2016/08/15,saturday
health,No fap,2,2016/08/15,saturday
pipeline,set up prospect notes sort,3,2016/08/15,saturday
health,mediate,2,2016/08/22,saturday
health,No fap,2,2016/08/22,saturday
personal,clean out garage,8,2016/08/22,saturday
personal,consign bikes,3,2016/08/22,saturday
health,No fap,2,2016/08/29,saturday
health,meditate,2,2016/08/29,saturday
pipeline,shcedule with keith,2,2016/08/29,saturday
personal,update computer,1,2016/08/29,saturday
personal,Talley Scrum,2,2016/09/05,saturday
personal,call on windows,2,2016/09/05,saturday
personal,Adrians b-day part,3,2016/09/05,saturday
career_development,finish static resume,10,2016/09/05,saturday
snowmass,update renee,2,2016/09/05,saturday
snowmass,reach out to HD,2,2016/09/05,saturday
personal,Gj trip,10,2016/09/12,saturday
health,Meditate,2,2016/09/12,saturday
health,in bed at 10pm,2,2016/09/12,saturday
health,No fap,2,2016/09/12,saturday
career_development,Job list category by skill,5,2016/09/19,saturday
career_development,project frame v2,5,2016/09/19,saturday
career_development,Draft mortgage website case study,5,2016/09/19,saturday
health,wake up @ 6am,2,2016/09/19,saturday
health,in bed at 10pm,2,2016/09/19,saturday
health,run 4 miles,4,2016/09/19,saturday
personal,buy socks,2,2016/09/19,saturday
personal,vegas wedding,30,2016/09/26,saturday
health,wake up @ 6am,2,2016/09/26,saturday
health,No fap,2,2016/09/26,saturday
health,Meditate,2,2016/09/26,saturday
fcfs,fix debug mailers,5,2016/10/03,saturday
health,No fap,2,2016/10/03,saturday
health,in bed at 10pm,2,2016/10/03,saturday
health,No fap,2,2016/10/10,saturday
health,spiritual mastery,8,2016/10/10,saturday
personal,Pick up perscription,2,2016/10/17,saturday
health,Meditate ,2,2016/10/17,saturday
health,in bed at 10pm,2,2016/10/17,saturday
fcfs,Pick up perscription,2,2016/10/24,saturday
health,Meditate ,2,2016/10/24,saturday
health,in bed at 10pm,2,2016/10/24,saturday
personal,Pick up perscription,2,2016/10/24,saturday
personal,Meditate ,2,2016/10/24,saturday
personal,Clean up rental hosue,5,2016/10/24,saturday
personal,laundry,2,2016/10/31,saturday
personal,Depoiste Rent check,2,2016/10/31,saturday
personal,Upload boxes,3,2016/10/31,saturday
personal,Fix adina tire,5,2016/10/31,saturday
personal,Seb paty,5,2016/10/31,saturday
fcfs,images to mp4 and work on all browsers,5,2016/11/07,saturday
personal,pay eliot,2,2016/11/07,saturday
health,No fap,2,2016/11/07,saturday
personal,Follw up with Karan,1,2016/11/14,saturday
personal,Buy new batter or charger for drill,2,2016/11/14,saturday
personal,Buy lock,2,2016/11/14,saturday
personal,Menu,2,2016/11/14,saturday
personal,Grocery,2,2016/11/14,saturday
personal,Biometric screening,3,2016/11/21,saturday
fcfs,Bubble chart 2,5,2016/11/21,saturday
health,Run 2.5 miles,3,2016/11/21,saturday
health,organize pills,2,2016/11/21,saturday
health,No fap,2,2016/11/21,saturday
health,wake up @ 6am,2,2016/11/21,saturday
health,hot yoga,4,2016/11/28,saturday
health,No fap,2,2016/11/28,saturday
snowmass,follow with renee,2,2016/11/28,saturday
personal,fix printer,2,2016/11/28,saturday
personal,Mail printer cartaridge back,2,2016/11/28,saturday
health,No fap,2,2016/12/05,saturday
health,Sai maa,20,2016/12/05,saturday
personal,Order insta cart,3,2016/12/12,saturday
personal,Snow blow driveway,5,2016/12/12,saturday
personal,Prep snowblower,1,2016/12/12,saturday
health,wake up @ 6am,2,2016/12/12,saturday
health,in bed at 10pm,2,2016/12/12,saturday
health,Lift,4,2016/12/12,saturday
health,Mental Mastery,8,2017/01/02,saturday
personal,ski day,8,2017/01/16,saturday
health,Cross country skiing,2,2017/01/23,saturday
personal,ski with seb,3,2017/01/30,saturday
personal,Reply to Joel,2,2017/01/30,saturday
health,no fap,2,2017/02/06,saturday
one_dataset,Blog Post dv2,5,2017/02/13,saturday
personal,Wash car,3,2017/02/13,saturday
personal,Menu Groceies,3,2017/02/13,saturday
personal,Clean House,5,2017/02/13,saturday
health,no fap,2,2017/02/13,saturday
health,No fap,2,2017/02/20,saturday
personal,Rake leaves stack wood,3,2017/02/27,saturday
personal,Send Joel orizaba ticket info,2,2017/02/27,saturday
personal,Genius bar,3,2017/02/27,saturday
personal,Increase internet speed,3,2017/03/06,saturday
health,No fap,2,2017/03/06,saturday
Health,Meditate,3,2017/03/13,saturday
Health,Orange Theory,5,2017/03/13,saturday
Health,No Fap,2,2017/03/13,saturday
personal,talley scrum,3,2017/03/20,saturday
vacation,vacation,100,2017/03/27,saturday
one_dataset,Upadte twitter profile,5,2017/04/03,saturday
one_dataset,Draft bubbles blog,3,2017/04/03,saturday
one_dataset,Elevation graph DV1,3,2017/04/03,saturday
personal,Costco run,5,2017/04/10,saturday
health,No fap,2,2017/04/10,saturday
Snowmass,Dig ditch spray weeds,20,2017/04/10,saturday
personal,Pheonix,10,2017/04/17,saturday
personal,clean oven,3,2017/05/01,saturday
personal,SOD,5,2017/05/01,saturday
personal,Clean up side yard,3,2017/05/01,saturday
fcfs,Pack and bjy fift for motherday,5,2017/05/08,saturday
board,director review,5,2017/05/15,saturday
personal,water garden,2,2017/06/05,saturday
personal,summer regiional,5,2017/06/12,saturday
personal,Japsert party,3,2017/06/19,saturday
health,lift,5,2017/06/19,saturday
health,breathwork and journal,5,2017/06/19,saturday
personal,Merrican dinenr,3,2017/06/26,saturday
personal,Laundry,3,2017/06/26,saturday
personal,clean closet,3,2017/06/26,saturday
board,respond email,2,2017/07/03,saturday
personal,Horse back riding lessons,5,2017/07/10,saturday
personal,Dinner with EJ,5,2017/07/10,saturday
personal,Laundry,3,2017/07/17,saturday
health,Meditate,3,2017/07/17,saturday
health,Journal,3,2017/07/17,saturday
board,board call,3,2017/07/24,saturday
one_dataset,cancel longtail,2,2017/07/24,saturday
snowmass,Scheule renee,2,2017/07/24,saturday
personal,Send out mylars,3,2017/07/24,saturday
personal,Fix sebe flat,3,2017/07/24,saturday
personal,Send payment brink layer,3,2017/07/24,saturday
one_dataset,code war problems,2,2017/07/24,saturday
personal,menu groceries,5,2017/08/07,saturday
health,Mt bike ,5,2017/08/07,saturday
personal,Game night,3,2017/09/04,saturday
health,mediate,5,2017/09/04,saturday
board,schedule cleanup,5,2017/09/04,saturday
personal,Prepare for joels,8,2017/09/11,saturday
personal,Joels reherssal dinner,3,2017/09/11,saturday
personal,pack for keysto,5,2017/09/11,saturday
personal,rehersasl,5,2017/09/11,saturday
one_dataset,reply to Luke,2,2017/09/11,saturday
personal,taylor party,3,2017/09/18,saturday
health,run 3 miles,5,2017/09/18,saturday
personal,yagya,10,2017/09/25,saturday
personal,plan vacation,3,2017/09/25,saturday
personal,Pull out old toilet,5,2017/10/23,saturday
personal,Payton Party,5,2017/10/23,saturday
personal,check inot flight,3,2017/10/30,saturday
personal,Bone broth,3,2017/11/13,saturday
health,Lift,5,2017/11/13,saturday
vacation,vacation,10,2017/11/20,saturday
personal,Grahms for Dinner,5,2017/11/27,saturday
health,lift,5,2017/11/27,saturday
health,No fab ,2,2017/11/27,saturday
health,Horse back riding,5,2017/11/27,saturday
gear lift,bestu use columns,5,2017/12/04,saturday
personal,Flu shot,5,2017/12/04,saturday
health,run 5 miles,5,2017/12/04,saturday
personal,Check on toppos,3,2017/12/11,saturday
health,150 grams of protien no carbs,8,2017/12/11,saturday
health,hike,3,2017/12/11,saturday
personal,Laundry,3,2017/12/18,saturday
vacation,Christmas vacation at home,10,2017/12/25,saturday
personal,Household calendar,5,2018/01/01,saturday
one_dataset,Work on redrwaw with checkboxes,5,2018/01/08,saturday
health,Power in Mind,5,2018/01/08,saturday
health,40 Days,5,2018/01/08,saturday
board,meet with Mary,8,2018/01/08,saturday
gear lift,Telluride startup weekend,20,2018/01/15,saturday
personal,back up computer,2,2018/01/29,saturday
one_dataset,area graph tool,8,2018/01/29,saturday
gear lift,organize docs,2,2018/02/05,saturday
gear lift,timeline,3,2018/02/05,saturday
one_dataset,add area adjusments,3,2018/02/05,saturday
health,Power in Mind,5,2018/02/05,saturday
health,40 days,5,2018/02/05,saturday
health,hike,3,2018/02/05,saturday
vacation,san diego,10,2018/02/12,saturday
gear lift,email bend,5,2018/02/19,saturday
gear lift,Remove unique prodents,3,2018/02/19,saturday
gear lift,Work on modal,5,2018/02/19,saturday
personal,Call vivant,3,2018/02/19,saturday
personal,light bulbs,3,2018/02/19,saturday
personal,Check greenwood,3,2018/02/19,saturday
health,Lift arms,5,2018/02/19,saturday
health,hike,3,2018/02/26,saturday
personal,Back up computer,2,2018/03/05,saturday
health,Power in Mind,5,2018/03/05,saturday
personal,Go to bank,3,2018/03/12,saturday
personal,Return clothes,3,2018/03/12,saturday
vacation,Costa Rica,10,2018/03/19,saturday
vacation,Costa Rica,10,2018/03/26,saturday
gear lift,Fix navbar form issues,5,2018/04/02,saturday
gear lift,finalize job responsiblities,3,2018/04/02,saturday
board,repond to rene,2,2018/04/16,saturday
personal,MSD auction,5,2018/04/16,saturday
personal,Buy new clothes,5,2018/04/16,saturday
gear lift,10 ski in puts,5,2018/04/16,saturday
gear lift,Pay eliot,3,2018/04/16,saturday
vacation,fly fishing trip,10,2018/04/23,saturday
personal,Family visit,8,2018/05/07,saturday
gear lift,terms and conditions,3,2018/05/28,saturday
gear lift,footer on show page,3,2018/05/28,saturday
personal,send in forms to avid,3,2018/05/28,saturday
personal,send in forms to jcc,3,2018/05/28,saturday
health,power in your mind,5,2018/05/28,saturday
personal,vacation,10,2018/06/04,saturday
gear lift,Respond to ben,2,2018/06/04,saturday
health,power in your mind,5,2018/06/04,saturday
personal,buy clothes,5,2018/06/11,saturday
personal,Going away party,2,2018/06/11,saturday
snowmass,Deposit check into snowmass account,3,2018/06/11,saturday
health,run 5 miles,8,2018/06/11,saturday
personal,regional meeting,20,2018/06/18,saturday
personal,Chicken soup,3,2018/06/25,saturday
personal,prepare for week,8,2018/06/25,saturday
personal,menu grocerie,3,2018/06/25,saturday
personal,prep for diet,3,2018/06/25,saturday
snowmass,Pay credit card,2,2018/06/25,saturday
snowmass,check on mortgage,2,2018/06/25,saturday
personal,deckers,20,2018/07/02,saturday
personal,back up computer,2,2018/07/02,saturday
personal,scrum 2 weeks,3,2018/07/02,saturday
personal,- [x] Set up iPad,3,2018/07/16,saturday
personal,- [x] dinner with elle,3,2018/07/16,saturday
health,Diet,5,2018/07/23,saturday
personal,Buy Backup,3,2018/07/23,saturday
personal,Fix computer,5,2018/07/23,saturday
personal,Laundry,3,2018/07/23,saturday
vacation,New Yokr,10,2018/07/30,saturday
personal,Download wells,3,2018/08/06,saturday
personal,Dry cleaning,2,2018/08/06,saturday
personal,Download Adina cc,3,2018/08/06,saturday
personal,Download snowmass,3,2018/08/06,saturday
personal,Download joint cc,3,2018/08/06,saturday
personal,retun Nordstrom stuff,3,2018/08/06,saturday
personal,JCC,2,2018/08/13,saturday
health,IF,5,2018/08/13,saturday
personal,Seb shopping,3,2018/08/20,saturday
personal,Turn down sprinklers,2,2018/08/20,saturday
personal,client party,8,2018/08/20,saturday
health,IF,5,2018/08/20,saturday
health,Juice,3,2018/08/20,saturday
health,IF,5,2018/08/27,saturday
health,IF,5,2018/09/03,saturday
gear lift,Download all data,3,2018/09/10,saturday
health,IF,5,2018/09/10,saturday
health,Juice,3,2018/09/10,saturday
health,IF,5,2018/09/17,saturday
health,Juice,3,2018/09/17,saturday
health,IF,5,2018/09/24,saturday
health,Juice,3,2018/09/24,saturday
gear lift,upload gear to production,5,2018/09/24,saturday
personal,Menu Groceries,3,2018/09/24,saturday
health,IF,5,2018/10/01,saturday
health,Juice,3,2018/10/01,saturday
health,IF,5,2018/10/08,saturday
health,Juice,3,2018/10/08,saturday
health,IF,5,2018/10/15,saturday
health,Juice,3,2018/10/15,saturday
health,IF,5,2018/10/22,saturday
health,Juice,3,2018/10/22,saturday
personal,Adina work party,8,2018/10/22,saturday
health,IF,5,2018/10/29,saturday
health,Juice,3,2018/10/29,saturday
personal,Wrap Presents,3,2018/10/29,saturday
health,IF,5,2018/11/05,saturday
health,Juice,3,2018/11/05,saturday
health,IF,5,2018/11/12,saturday
health,Juice,3,2018/11/12,saturday
personal,Put away firewood,5,2018/11/12,saturday
gear lift,Clean slow repsonsivness,5,2018/11/12,saturday
gear lift,Respond Samantha,3,2018/11/12,saturday
health,IF,5,2018/11/19,saturday
health,Juice,3,2018/11/19,saturday
vacation,Aspen,10,2018/11/19,saturday
personal,pick up dry cleaning,3,2018/11/19,saturday
gear lift,Free skier,3,2018/11/19,saturday
gear lift,Ski Gear Mag,3,2018/11/19,saturday
gear lift,Reponsive issues on navbar,3,2018/11/19,saturday
health,IF,5,2018/11/26,saturday
health,Juice,3,2018/11/26,saturday
health,IF,5,2018/12/03,saturday
health,Juice,3,2018/12/03,saturday
personal,dog food,2,2018/12/03,saturday
personal,Pay lawn care,2,2018/12/03,saturday
health,in bed at 10pm,2,2016/10/10,monday 
health,in bed at 10pm,2,2016/10/17,monday 
health,in bed at 10pm,2,2016/10/24,monday 
health,in bed at 10pm,2,2016/11/14,monday 
health,Breakwork and Journal,5,2017/07/03,monday 
health,40 days,5,2018/02/05,monday 
health,cleanse,3,2015/12/28,monday
health,cleanse,3,2016/01/04,monday
health,GVT Chest / Back,3,2016/02/22,monday
personal,Personal Finances,2,2016/02/22,monday
personal,Water Plant,1,2016/02/22,monday
personal,Laundry ,1,2016/02/22,monday
personal,Backup computer,2,2016/02/22,monday
personal,Car wash,1,2016/02/22,monday
personal,Call Leslie,1,2016/02/22,monday
personal,Pay MS Rosa,1,2016/02/22,monday
personal,Call Dad,1,2016/02/22,monday
personal,Download new Audible.com,1,2016/02/22,monday
personal,Purchase Practicing Mind,1,2016/02/22,monday
snowmass,Reply to Bruce Anderson,1,2016/02/22,monday
personal,Pay Eliot,1,2016/02/22,monday
personal,Put Tim and Kara baby shower in calendar,1,2016/02/22,monday
mortgage_application,Fix Date issue in CSV - Appform,3,2016/02/22,monday
mortgage_application,Email Mike and Chris about Fix,1,2016/02/22,monday
fcfs,Setup Business Expense Plan,2,2016/02/22,monday
career_development,Text Karan about cofee,1,2016/02/22,monday
career_development,Email Tim,1,2016/02/22,monday
career_development,Email Doug,1,2016/02/22,monday
health,Ski with Joel and Seb,5,2016/02/29,monday
personal,Laundry ,1,2016/02/29,monday
pipeline,Change requested at to date field,2,2016/03/07,monday
pipeline,Setup task controller,3,2016/03/07,monday
personal,Personal Finances,2,2016/03/07,monday
personal,Water Plant,1,2016/03/07,monday
personal,Seva,3,2016/03/07,monday
personal,Pay Monetsorri,1,2016/03/07,monday
personal,Backup Computer,2,2016/03/07,monday
personal,Pay HOA,2,2016/03/07,monday
personal,Create and Print Snowmass Expense,2,2016/03/07,monday
fcfs,Bundle audit,1,2016/03/07,monday
fcfs,Brakeman,1,2016/03/07,monday
fcfs,Data-transfer,1,2016/03/07,monday
career_development,Email Tim,1,2016/03/07,monday
career_development,TH - CSS Fundamental Concepts,2,2016/03/07,monday
career_development,TH - CSS Designing w the latest Features,2,2016/03/07,monday
career_development,TH - Basica Layout,2,2016/03/07,monday
career_development,Text Rachel Davis,1,2016/03/07,monday
pipeline,All complete turns off all red on requested,2,2016/03/14,monday
pipeline,Get notes section working,3,2016/03/14,monday
pipeline,Create notes list,2,2016/03/14,monday
pipeline,Hamberger Menu,3,2016/03/21,monday
pipeline,Down arrow on last name,2,2016/03/21,monday
pipeline,Dashboard link v1,2,2016/03/21,monday
pipeline,Create Method for % complete,2,2016/03/21,monday
pipeline,Setup Dashboard,3,2016/03/21,monday
pipeline,Checkbox conditions Dl goes away,3,2016/03/21,monday
health,Meditate,2,2016/03/14,monday
personal,Sweep garage,2,2016/03/14,monday
personal,Personal Finances,2,2016/03/14,monday
personal,Coordinate w/ roofing,1,2016/03/14,monday
personal,Back up Computer clean mac,2,2016/03/14,monday
personal,Text Ronnie,1,2016/03/14,monday
personal,Laundry,2,2016/03/14,monday
personal,Respond to Doug,2,2016/03/21,monday
personal,Laundry,2,2016/03/21,monday
personal,Brush Frazz,2,2016/03/21,monday
health,Meditate,2,2016/03/21,monday
fcfs,Bundle audit,1,2016/03/14,monday
fcfs,Brakeman,1,2016/03/14,monday
fcfs,Data-transfer,1,2016/03/14,monday
fcfs,Set up db Backup and schedule,3,2016/03/14,monday
fcfs,Email Mike,1,2016/03/14,monday
career_development,Set up new profile page i,2,2016/03/14,monday
career_development,Config sublime with profile,2,2016/03/14,monday
career_development,Set up githursdaydaysdayb ssh,2,2016/03/14,monday
career_development,Set up new Environment in rails profile,2,2016/03/14,monday
health,Meditate,,2016/03/28,monday
pipeline,VA Purchase,2,2016/04/04,monday
pipeline,FHA SL Refi SRR No app,2,2016/04/04,monday
pipeline,FHA SL With Appraisal,2,2016/04/04,monday
pipeline,FHA Sl Refi No App Condo,2,2016/04/04,monday
pipeline,FHA SL with App Condo,2,2016/04/04,monday
pipeline,VA Condo,2,2016/04/04,monday
pipeline,VA SFR Refi,2,2016/04/04,monday
health,Meditate,2,2016/04/04,monday
health,GVT Chest/back,3,2016/04/04,monday
personal,Call the North Face,1,2016/04/04,monday
personal,Respond to baby shower,3,2016/04/04,monday
personal,Reconcile Edward jones cc,3,2016/04/04,monday
personal,Call Sprinkler Guy,1,2016/04/04,monday
personal,Call roofing company,1,2016/04/04,monday
career_development,Set up stage pages on profile,3,2016/04/04,monday
personal,Diner Out,3,2016/04/11,monday
health,Ski with Seb,13,2016/04/11,monday
pipeline,Input informaiton into pipeline,8,2016/04/18,monday
pipeline,Launch Pipeline,5,2016/04/18,monday
personal,Make broth and pickling,2,2016/04/18,monday
pipeline,Add additional itmes to list,2,2016/04/25,monday
pipeline,Launch Pipeline,5,2016/04/25,monday
personal,Order new light bulb,1,2016/04/25,monday
personal,Respond to Brady Bachelor party,3,2016/04/25,monday
personal,Water plant,1,2016/04/25,monday
personal,Submit Business Expense Plan,2,2016/04/25,monday
personal,Reply to Noe,1,2016/04/25,monday
personal,Return Books to Barnes and Nobel,2,2016/04/25,monday
career_development,Get D3 working with CSV,3,2016/04/25,monday
career_development,Profile in Kaffine,1,2016/04/25,monday
career_development,Set up profile on heroku,2,2016/04/25,monday
career_development,Thank you Note to Joey,2,2016/04/25,monday
career_development,Breakfast with Joey,3,2016/04/25,monday
career_development,Text Joey,2,2016/04/25,monday
personal,Water plant,1,2016/05/02,monday
personal,Respond to luke,2,2016/05/02,monday
personal,Respon to Holly,2,2016/05/02,monday
personal,Personal Finance,2,2016/05/02,monday
personal,Pay Amex,2,2016/05/02,monday
health,Organize pills,2,2016/05/02,monday
personal,Back up copmuter,2,2016/05/02,monday
personal,Charge fitbit and setup,2,2016/05/02,monday
personal,Walk Frazz,2,2016/05/02,monday
personal,Laundry,2,2016/05/02,monday
personal,Trim bushes,3,2016/05/02,monday
health,Dinner prep,2,2016/05/02,monday
personal,Brady book,1,2016/05/02,monday
fcfs,brakeman,1,2016/05/02,monday
fcfs,Data transfer,1,2016/05/02,monday
fcfs,database backup,1,2016/05/02,monday
fcfs,Bundle Audit,1,2016/05/02,monday
pipeline,Dynamic submission sheet,5,2016/05/02,monday
personal,Water plant,1,2016/05/09,monday
health,Organize Pills,2,2016/05/09,monday
personal,Fix Desk,2,2016/05/09,monday
personal,Call Joel,2,2016/05/09,monday
snowmass,Call Luiz,1,2016/05/09,monday
personal,Walk frazz,2,2016/05/09,monday
personal,Buy shirts and shoes,2,2016/05/09,monday
personal,Dog poop,2,2016/05/09,monday
personal,Return Movies,2,2016/05/09,monday
personal,Groceries,2,2016/05/09,monday
personal,Laundry,2,2016/05/09,monday
career_development,basic layout,8,2016/05/09,monday
pipeline,x to close tasks box,5,2016/05/16,monday
personal,call in perscription,2,2016/05/16,monday
personal,clean car,3,2016/05/16,monday
personal,Review race dates with Adina,1,2016/05/16,monday
personal,Water plant,1,2016/05/16,monday
personal,Walk frazz,2,2016/05/16,monday
personal,Personal Finances,3,2016/05/16,monday
personal,Back up computer,2,2016/05/16,monday
personal,Set up may business expense,3,2016/05/16,monday
personal,Submit Business Expense Plan,2,2016/05/16,monday
personal,Pay eliot,2,2016/05/16,monday
