category,task,value,date,day
personal,Cancel mail forwarding,2,2016/10/17,wednesday
personal,Winter park photos,2,2016/10/17,wednesday
personal,Laundry,2,2016/10/17,wednesday
personal,Medittion class in calendar,2,2016/10/17,wednesday
personal,Personal finances,2,2016/10/17,wednesday
health,wake up @ 6am,2,2016/10/17,wednesday
health,in bed at 10pm,2,2016/10/17,wednesday
health,Paleo,2,2016/10/17,wednesday
board,Montessori board meeting,5,2016/10/17,wednesday
health,Montessori finances,3,2016/10/17,wednesday
fcfs,Chris application Haege,2,2016/10/17,wednesday
fcfs,Close date email,3,2016/10/17,wednesday
fcfs,Check db logs,2,2016/10/17,wednesday
fcfs,Closing date email spec,3,2016/10/17,wednesday
personal,check post office,3,2016/10/24,wednesday
personal,Fill out conscious transformation paperwork,2,2016/10/24,wednesday
personal,back up computer,2,2016/10/24,wednesday
personal,Cancel mail forwarding,2,2016/10/24,wednesday
snowmass,Winter park photos,2,2016/10/24,wednesday
fcfs,Laundry,2,2016/10/24,wednesday
fcfs,Medittion class in calendar,2,2016/10/24,wednesday
fcfs,Personal finances,2,2016/10/24,wednesday
health,wake up @ 6am,2,2016/10/24,wednesday
health,in bed at 10pm,2,2016/10/24,wednesday
health,Paleo,2,2016/10/24,wednesday
personal,Fill out conscious transformation paperwork,2,2016/10/24,wednesday
personal,back up computer,2,2016/10/24,wednesday
personal,Cancel mail forwarding,2,2016/10/24,wednesday
personal,Winter park photos,2,2016/10/24,wednesday
personal,Laundry,2,2016/10/24,wednesday
personal,Medittion class in calendar,2,2016/10/24,wednesday
personal,Personal finances,2,2016/10/24,wednesday
fcfs,meet with mike,3,2016/10/24,wednesday
fcfs,comment out snooze,3,2016/10/24,wednesday
fcfs,Team meeting,3,2016/10/31,wednesday
fcfs,Meet with Mike,5,2016/10/31,wednesday
health,mediate,2,2016/10/31,wednesday
health,2.5 Mile Run 50/50,4,2016/10/31,wednesday
personal,ELG ,5,2016/10/31,wednesday
personal,Meet with Mitch,1,2016/10/31,wednesday
health,wake up @ 6am,2,2016/10/31,wednesday
health,in bed at 10pm,2,2016/10/31,wednesday
snowmass,Get windows setup,8,2016/11/07,wednesday
health,wake up @ 6am,2,2016/11/07,wednesday
health,in bed at 10pm,2,2016/11/07,wednesday
health,No fap,2,2016/11/07,wednesday
personal,Call Fergeson,2,2016/11/14,wednesday
personal,Groceries,2,2016/11/14,wednesday
personal,Personal finances,3,2016/11/14,wednesday
personal,Clean slippys tank,3,2016/11/14,wednesday
personal,Pay MSWP,2,2016/11/14,wednesday
personal,Call on recal,2,2016/11/14,wednesday
fcfs,Business expense plan,3,2016/11/14,wednesday
fcfs,Email Eliot about intro to mike,2,2016/11/14,wednesday
fcfs,Create ticket for Chris' computer,3,2016/11/14,wednesday
fcfs,Cancel Zamar,2,2016/11/14,wednesday
fcfs,D3 database v2,5,2016/11/14,wednesday
health,Paleo,2,2016/11/14,wednesday
health,wake up @ 6am,2,2016/11/14,wednesday
health,Mediate ,2,2016/11/14,wednesday
health,No fap,2,2016/11/21,wednesday
health,wake up @ 6am,2,2016/11/21,wednesday
health,No fap,2,2016/11/28,wednesday
fcfs,server upgrade,3,2016/11/28,wednesday
fcfs,move graph to the right,2,2016/11/28,wednesday
fcfs,Point update,2,2016/11/28,wednesday
fcfs,Dashboad policy questions,3,2016/11/28,wednesday
fcfs,Fixed database issue with summary by year,5,2016/11/28,wednesday
personal,nanny taxes,3,2016/11/28,wednesday
personal,trash,2,2016/11/28,wednesday
personal,back up computer,2,2016/11/28,wednesday
personal,Orkin visit,2,2016/11/28,wednesday
health,No fap,2,2016/12/05,wednesday
health,Sai maa,20,2016/12/05,wednesday
personal,Drop off shirts at dry cleaners,2,2016/12/12,wednesday
personal,Trash,2,2016/12/12,wednesday
personal,Set up steam oven,5,2016/12/12,wednesday
personal,Call Joel back ,2,2016/12/12,wednesday
personal,Ask adina about 20th,1,2016/12/12,wednesday
personal,Call slavens about registartion,2,2016/12/12,wednesday
personal,Checkout Pura Vida,2,2016/12/12,wednesday
personal,Refill perscriptoin,2,2016/12/12,wednesday
fcfs,Call paresh about tickets,2,2016/12/12,wednesday
fcfs,Fix to CSV loading on all pages,3,2016/12/12,wednesday
fcfs,Timetable closed date on processing closed,3,2016/12/12,wednesday
fcfs,Sub folders for JS files,2,2016/12/12,wednesday
fcfs,Header view on screen size,3,2016/12/12,wednesday
fcfs,Prospect closed graph,5,2016/12/12,wednesday
fcfs,Side bar on navigation,3,2016/12/12,wednesday
career_development,Check out everest data,2,2016/12/12,wednesday
health,wake up @ 6am,2,2016/12/12,wednesday
health,in bed at 10pm,2,2016/12/12,wednesday
personal,trash,2,2016/12/19,wednesday
fcfs,Meeting with Mike Chris about LO Dashboard,3,2016/12/19,wednesday
fcfs,Meet with Chris at Dilse,2,2016/12/19,wednesday
fcfs,Recruit second page layout dv1,5,2016/12/19,wednesday
health,in bed at 10pm,2,2017/01/02,wednesday
one_dataset,2 code war challenges,5,2017/01/02,wednesday
personal,Orde firewood,2,2017/01/02,wednesday
personal,Deposit Check,2,2017/01/02,wednesday
personal,Trash,2,2017/01/02,wednesday
